point	title	description	iconSize	iconOffset	icon
39.8853708,116.5323036	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
54.1415146,13.6660981	Kernkraftwerk Lubmin	arrêt : 	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation-disused.png
38.8641184,-84.2303974	(no-name)	opérateur : Duke Energy Ohio	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
49.5367715,-1.8815766	Centrale Nucléaire de Flamanville	opérateur : EDF</br>mise en service : 1986</br>puissance : 2600 MW</br><a href='http://fr.wikipedia.org/wiki/Centrale_nucléaire_de_Flamanville' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
48.5147582,10.4011846	Kernkraftwerk Gundremmingen	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
49.8557284,0.6407290	Centrale nucléaire de Paluel	opérateur : edf</br>mise en service : 1984</br>puissance : 5200 MW</br><a href='http://fr.wikipedia.org/wiki/Centrale_nucléaire_de_Paluel' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.6332468,-78.9556641	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
40.9518227,0.8673311	Central nuclear de Vandellos	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
38.3454513,-121.1236816	Rancho Seco Nuclear Generating Station (decommissioned)	opérateur : SMUD	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
49.9840642,10.1846916	Kernkraftwerk Grafenrheinfeld	puissance : 1275 MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
47.3647331,7.9670773	Kernkraftwerk Gösgen	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
58.5790795,-3.7476411	Dounreay Nuclear Power Development Establishment	opérateur : UKAEA</br>puissance : yes	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
32.2984401,-97.7853935	Comanche Peak Nuclear Power Station	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
28.7955008,-96.0480921	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
28.7955170,-96.0500554	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
56.8477413,61.3300544	Beloyarsk Nuclear Power Station	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
39.8149727,-74.2049302	Oyster Creek Generating Station	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
46.4524179,0.6519417	Centrale Nucléaire de Civaux	opérateur : edf</br>mise en service : 1997</br>puissance : 2990 MW</br><a href='http://fr.wikipedia.org/wiki/Centrale_nucléaire_de_Civaux' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
41.4256486,12.8063369	Centrale Nucleare	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
44.1062845,0.8486751	Centrale nucléaire de Golfech	opérateur : edf</br>mise en service : 1991</br>puissance : 2600 MW</br><a href='http://fr.wikipedia.org/wiki/Centrale_nucléaire_de_Golfech' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
49.9774079,1.2117149	Centrale Nucléaire de Penly	opérateur : edf</br>mise en service : 1982</br>puissance : 2600 MW</br><a href='http://fr.wikipedia.org/wiki/Centrale_nucléaire_de_Penly' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
45.7991284,5.2697551	Centrale Nucléaire du Bugey	opérateur : edf</br>mise en service : 1972</br>puissance : 3560 MW</br><a href='http://fr.wikipedia.org/wiki/Centrale_nucléaire_du_Bugey' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
45.7575047,5.4707439	Centrale Nucléaire de Creys Malville	opérateur : EDF</br>mise en service : 1985</br>arrêt : 1998</br>puissance : 0</br><a href='http://fr.wikipedia.org/wiki/Site_nucléaire_de_Brennilis' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation-disused.png
45.2579039,-0.6921393	Centrale nucléaire du Blayais	opérateur : edf</br>mise en service : 1981</br>puissance : 3600 MW</br><a href='http://fr.wikipedia.org/wiki/Centrale_nucléaire_du_Blayais' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
52.4716853,7.3194212	Kernkraftwerk Emsland	opérateur : RWE AG	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
41.3903947,-88.2693059	Dresden Generating Station	opérateur : Exelon	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
57.9078380,35.0592537	Калининская АЭС	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
51.4310723,3.7175617	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
54.8920338,52.3019386	(no-name)	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
55.7960979,37.4789497	Реактор Ф1	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
52.0934466,47.9536185	Балаковская АЭС	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
45.4078292,4.7537179	Centrale Nucléaire de Saint-Alban	opérateur : EDF</br>mise en service : 1985</br>puissance : 2600 MW</br><a href='http://fr.wikipedia.org/wiki/Centrale_nucléaire_de_Saint-Alban' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
47.2314029,0.1748652	Centrale Nucléaire de Chinon	opérateur : EDF</br>mise en service : 1964</br>puissance : 3816 MW</br><a href='http://fr.wikipedia.org/wiki/Centrale_nucléaire_de_Chinon' target='_blank'>wikipedia</a>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
31.9333790,-82.3453617	Hatch Nuclear Plant	</br>	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
